epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,3782.89,0.81966,1.59886,0.60326,1.06402,0.86885,0.64434,0.73202,0.52551,0.86003,0.64014,0.68723,0.47496,1.10249,2.08454,1.0054,1.34034,0.00133693,0.00133693,0.00133693
12,4126.13,0.80635,1.57556,0.58606,1.05892,0.83747,0.74293,0.77535,0.52883,0.81068,0.71729,0.74202,0.472,1.1361,2.2405,0.93795,1.4011,0.00130393,0.00130393,0.00130393
13,4469.16,0.78347,1.53264,0.57151,1.04673,0.84025,0.70866,0.75555,0.5544,0.88133,0.74293,0.77763,0.50971,1.00113,2.07249,0.89113,1.28477,0.00127092,0.00127092,0.00127092
14,4812.38,0.76232,1.49428,0.55013,1.03346,0.8132,0.73884,0.77922,0.56594,0.78942,0.71776,0.75571,0.51999,1.02145,1.9263,0.79827,1.26859,0.00123791,0.00123791,0.00123791
15,5155.49,0.75875,1.48795,0.54517,1.03428,0.78744,0.71706,0.74077,0.51845,0.77366,0.70424,0.71978,0.47699,1.08553,2.01473,0.93557,1.42498,0.00120491,0.00120491,0.00120491
16,5498.59,0.74107,1.4654,0.52973,1.02366,0.82957,0.6954,0.75994,0.55838,0.85178,0.65355,0.75312,0.49813,1.02298,2.14871,0.92495,1.28714,0.0011719,0.0011719,0.0011719
17,5841.45,0.72922,1.44447,0.51845,1.01999,0.86765,0.65716,0.72681,0.54181,0.85869,0.65296,0.71097,0.49573,1.03018,2.13645,0.90073,1.31402,0.00113889,0.00113889,0.00113889
18,6184.32,0.71837,1.4217,0.50806,1.00997,0.7504,0.68329,0.7305,0.50675,0.91552,0.61397,0.73114,0.48159,1.09884,2.09043,0.9511,1.36546,0.00110589,0.00110589,0.00110589
19,6527.36,0.70997,1.40271,0.50224,1.00787,0.88258,0.69409,0.75181,0.51132,0.88625,0.66975,0.72988,0.47965,1.07167,2.14898,0.91558,1.35721,0.00107288,0.00107288,0.00107288
20,6870.47,0.70417,1.40269,0.49544,1.00586,0.87299,0.71729,0.76641,0.53508,0.85825,0.72171,0.74996,0.47445,1.03784,2.17953,0.80328,1.36106,0.00103987,0.00103987,0.00103987
21,7213.67,0.70032,1.37491,0.48932,1.00272,0.8303,0.73873,0.74276,0.51462,0.81051,0.72591,0.71938,0.47801,1.03188,2.06669,0.91536,1.34633,0.00100687,0.00100687,0.00100687
22,7556.59,0.67999,1.35723,0.4757,0.99694,0.8547,0.69595,0.73909,0.48871,0.82199,0.67041,0.70066,0.45484,1.0793,2.21161,1.06955,1.37135,0.000973861,0.000973861,0.000973861
23,7899.77,0.68697,1.35431,0.47136,0.99371,0.85979,0.72882,0.75733,0.53898,0.83901,0.6972,0.71789,0.49005,1.07884,2.09825,0.93014,1.40306,0.000940855,0.000940855,0.000940855
24,8242.85,0.67135,1.33239,0.46549,0.98791,0.8345,0.69154,0.73879,0.54112,0.83655,0.64738,0.70853,0.47591,1.03665,2.27259,0.92243,1.33746,0.000907848,0.000907848,0.000907848
25,8585.89,0.65658,1.30646,0.45546,0.9804,0.87556,0.67499,0.75558,0.54041,0.90093,0.62415,0.73672,0.47993,1.04325,2.21829,0.9531,1.40213,0.000874842,0.000874842,0.000874842
26,8929.33,0.65454,1.31746,0.4502,0.98135,0.83621,0.71418,0.74492,0.53594,0.85558,0.73142,0.73317,0.49496,1.02746,2.2557,0.92127,1.3424,0.000841835,0.000841835,0.000841835
27,9272.45,0.64727,1.28468,0.44481,0.97402,0.81743,0.72171,0.75548,0.53055,0.8021,0.70889,0.73545,0.4774,1.02641,2.25136,0.92128,1.32761,0.000808828,0.000808828,0.000808828
28,9615.36,0.64229,1.27889,0.43959,0.9769,0.86351,0.72209,0.76569,0.53753,0.79596,0.74419,0.74546,0.49174,0.98118,2.17175,0.89809,1.28608,0.000775822,0.000775822,0.000775822
29,9958.45,0.64283,1.28078,0.43993,0.97327,0.85026,0.73011,0.78546,0.55596,0.80281,0.74081,0.75706,0.49952,1.01796,2.1316,0.87945,1.3153,0.000742815,0.000742815,0.000742815
30,10301.6,0.61794,1.23619,0.4202,0.96287,0.82574,0.71672,0.75907,0.55714,0.82097,0.71258,0.7583,0.50421,0.98415,2.2673,0.84858,1.27107,0.000709809,0.000709809,0.000709809
31,10644.6,0.61792,1.23344,0.41996,0.96609,0.84391,0.69667,0.73758,0.55896,0.8542,0.70529,0.73902,0.49295,0.98628,2.2633,0.92381,1.31038,0.000676802,0.000676802,0.000676802
32,10987.6,0.61512,1.22592,0.41902,0.96194,0.8346,0.74045,0.7702,0.54386,0.82444,0.73221,0.74495,0.49257,1.01624,2.14479,0.91855,1.33819,0.000643795,0.000643795,0.000643795
